participant,attempts,reader_accuracy,abstain_accuracy,authority_correct,recall@5,chain_complete@5,gold_evidence_recall@5,evidence_id_precision,evidence_id_recall,forbidden_evidence_total,cross_principal_evidence_total,deleted_evidence_total,pass_at_1,all_success_rate,mean_latency_ms,mean_tokens,cost_usd
bm25-pure,576,0.9668,0.9746,0.0,1.0,0.9818,0.9909,0.8278,0.9875,58,0,0,0.9635,0.9583,4500.392,1585.5,0.156159
bm25-sqlite-fts,576,0.9668,0.9785,0.0,1.0,0.9818,0.9909,0.8444,0.9886,54,0,0,0.9635,0.9635,3903.239,1312.0,0.133345
full-context,576,0.8594,0.8594,0.0,0.0727,0.0545,0.0636,0.7014,0.8364,792,0,0,0.8594,0.8594,4233.188,3038.9,0.271538
gbrain,576,0.967,0.9844,0.0,0.9818,0.9697,0.9758,0.8108,0.9798,129,0,0,0.9688,0.9635,4614.383,1828.0,0.206131
hindsight,576,0.9826,0.9826,0.0,0.9636,0.9455,0.9545,0.833,0.998,792,0,0,0.9844,0.9792,4563.288,3163.3,0.390342
mem0,576,0.974,0.9826,0.0,0.9697,0.9515,0.9606,0.8175,0.9879,126,0,0,0.974,0.9688,5081.091,2471.7,0.233803
no-memory,576,0.1406,0.1406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1406,0.1406,2670.396,636.7,0.063606
optmem,64,None,None,None,None,None,None,None,None,0,0,0,0.0,0.0,None,None,0.050508
oracle,576,1.0,1.0,1.0,1.0,1.0,1.0,0.8594,1.0,0,0,0,1.0,1.0,2011.197,683.3,0.064997
random-retrieval,576,0.3646,0.4688,0.0,0.1636,0.1636,0.1636,0.2248,0.2636,96,0,0,0.3646,0.3646,3229.633,1515.6,0.140504
